<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
UBI.MI,????,05/07/2019,D,2.687000,2.694000,2.649000,2.659000,1244671,0
UCG.MI,????,05/07/2019,D,11.874000,11.894000,11.692000,11.728000,5481242,0
US.MI,????,05/07/2019,D,2.420000,2.426000,2.397000,2.411000,593758,0
MN.MI,????,05/07/2019,D,1.656000,1.656000,1.628000,1.628000,97391,0
DIA.MI,????,05/07/2019,D,87.449997,89.449997,87.449997,89.449997,36753,0
STM,????,05/06/2019,D,17.459999,17.610001,17.360001,17.540001,3071162,0
TS,????,05/06/2019,D,26.650000,27.355000,26.629999,27.170000,1913162,0
E,????,05/06/2019,D,33.029999,33.410000,33.029999,33.299999,106646,0
TI,????,05/06/2019,D,5.460000,5.490000,5.430000,5.450000,222706,0
MLM.MI,????,05/07/2019,D,0.408000,0.414500,0.408000,0.409500,411243,0
MTV.MI,????,05/07/2019,D,1.300000,1.328000,1.300000,1.305000,138724,0
ETH.MI,????,05/07/2019,D,3.670000,3.725000,3.670000,3.675000,31604,0
IRE.MI,????,05/07/2019,D,2.078000,2.098000,2.084000,2.088000,261131,0
HER.MI,????,05/07/2019,D,3.132000,3.170000,3.144000,3.154000,512681,0
IGD.MI,????,05/07/2019,D,6.710000,6.880000,6.710000,6.870000,167532,0
CASS.MI,????,05/07/2019,D,8.125000,8.160000,8.070000,8.080000,132824,0
SRS.MI,????,05/07/2019,D,1.553000,1.553000,1.520000,1.521000,1636846,0
AMP.MI,????,05/07/2019,D,17.010000,17.230000,16.870001,17.129999,175387,0
AST.MI,????,05/07/2019,D,0.700000,0.704500,0.690000,0.699000,236638,0
IP.MI,????,05/07/2019,D,31.959999,32.820000,31.959999,32.660000,67111,0
LR.MI,????,05/07/2019,D,1.172000,1.182000,1.162000,1.162000,14215,0
CAI.MI,????,05/07/2019,D,3.610000,3.575000,3.500000,3.510000,77739,0
CIR.MI,????,05/07/2019,D,1.072000,1.072000,1.052000,1.052000,60146,0
BPSO.MI,????,05/07/2019,D,2.378000,2.378000,2.352000,2.360000,99945,0
CVAL.MI,????,05/07/2019,D,0.070000,0.071200,0.069700,0.070000,1359086,0
MEC.MI,????,05/06/2019,D,0.041200,0.041600,0.041000,0.041600,362727,0
DIS.MI,????,05/07/2019,D,0.090200,0.090500,0.089600,0.090500,94385,0
DIB.MI,????,05/07/2019,D,6.340000,6.420000,6.340000,6.390000,2720,0
FKR.MI,????,05/07/2019,D,3.150000,3.240000,3.058000,3.226000,268143,0
BRE.MI,????,05/07/2019,D,11.120000,11.330000,11.110000,11.280000,254926,0
BGN.MI,????,05/07/2019,D,25.000000,24.959999,24.400000,24.840000,113594,0
REC.MI,????,05/07/2019,D,35.279999,36.250000,35.279999,36.049999,62782,0
GEO.MI,????,05/07/2019,D,1.600000,1.600000,1.578000,1.596000,50368,0
FNM.MI,????,05/07/2019,D,0.518000,0.512000,0.505000,0.512000,7613,0
IF.MI,????,05/07/2019,D,14.770000,14.800000,14.220000,14.250000,76276,0
BST.MI,????,05/07/2019,D,1.570000,1.588000,1.544000,1.552000,220200,0
IMA.MI,????,05/07/2019,D,73.800003,75.000000,73.800003,74.449997,11639,0
SAL.MI,????,05/07/2019,D,1.866000,1.856000,1.827000,1.844000,106545,0
PIA.MI,????,05/07/2019,D,2.400000,2.480000,2.400000,2.450000,330336,0
TITR.MI,????,05/07/2019,D,0.458500,0.464100,0.458200,0.460700,4810931,0
<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
^GSPC,????,05/06/2019,D,2908.889893,2937.320068,2898.209961,2932.469971,1857443096,0
^IXIC,????,05/06/2019,D,7981.849609,8135.543457,7981.849609,8123.289063,1733285359,0
^STOXX50E,????,05/07/2019,D,3460.560059,3467.639893,3446.959961,3450.489990,0,0
^NDX,????,05/06/2019,D,7662.924316,7804.544922,7662.924316,7794.092773,549085458,0
EURUSD=X,????,05/07/2019,D,1.119821,1.121831,1.119695,1.119946,0,0
EURTRY=X,????,05/07/2019,D,6.812700,6.951830,6.799400,6.899800,0,0
USDJPY=X,????,05/07/2019,D,110.680000,110.853996,110.519997,110.598999,0,0
